Таганрог,245580
Сыктывкар,243279
Нижнекамск,240127
Нальчик,239610
Комсомольск-на-Амуре,239386
Шахты,226331
Дзержинск,225474
Королев,225271
Энгельс,225035
Благовещенск,224962
Великий Новгород,224861
Орск,223305
Старый Оскол,222593
Братск,222528
Ангарск,219745
Люберцы,209582
Псков,209073
Южно-Сахалинск,201703
Бийск,196442
Абакан,187111
Армавир,186147
Прокопьевск,184856
Балаково,184297
Норильск,184124
Петропавловск-Камчатский,181293
Северодвинск,179742
Рыбинск,179575
Красногорск,174908
Уссурийск,172032
Волгодонск,168269
Новочеркасск,163685
Сызрань,162886
Каменск-Уральский,162553
Златоуст,159744
Альметьевск,158280
Керчь,150892
Миасс,150339
Электросталь,149136
Хасавюрт,148274
Салават,147739
Пятигорск,145484
Копейск,145023
Находка,140176
Майкоп,139076
Одинцово,138891
Рубцовск,137582
Коломна,136778
Домодедово,136090
Березники,134750
Каспийск,133581
Нефтекамск,132679
Ковров,132372
Щелково,128803
Нефтеюганск,128685
Дербент,127518
Новочебоксарск,127481
Кисловодск,127304
Батайск,126779
Назрань,125297
Серпухов,124998
Раменское,124964
Кызыл,123260
Черкесск,122579
Обнинск,121508
Новомосковск,120810
Долгопрудный,120301
Новый Уренгой,118667
Орехово-Зуево,117825
Первоуральск,117673
Ессентуки,117168
Невинномысск,114423
Октябрьский,114131
Димитровград,111093
Пушкино,109816
Ноябрьск,109488
Реутов,108257
Евпатория,108131
Жуковский,107063
Камышин,106879
Ханты-Мансийск,105995
Северск,105238
Артем,104509
Ачинск,104289
Муром,104030
Бердск,103544
Элиста,103531
Новошахтинск,103433
Арзамас,102664
Ногинск,101404
