Жигулёвск,49921
Кириши,49609
Лесной,49329
Черемхово,49233
Кизляр,49174
Назарово,48940
Солнечногорск,48719
Узловая,48393
Боровичи,48344
Можга,48256
Шелехов,47680
Рославль,47417
Курганинск,47356
Балахна,47216
Аксай,47177
Отрадный,46919
Бугуруслан,46870
Ливны,46779
Надым,46445
Бирск,46438
Донецк,46339
Грязи,46054
Мегион,45910
Кашира,45835
Лангепас,45751
Заринск,44923
Саяногорск,44880
Карабулак,44731
Радужный,44436
Краснознаменск,44399
Канаш,44308
Берёзовский,44249
Кингисепп,43875
Вышний Волочёк,43688
Волхов,43309
Рузаевка,43071
Куйбышев,42921
Чусовой,42751
Торжок,42630
Кореновск,42504
Горячий,42273
Лянтор,42160
Ярцево,42126
Рассказово,41823
Чебаркуль,41565
Аргун,41393
Кимры,41176
Сосновоборск,41165
Темрюк,41017
Моздок,40976
Осинники,40790
Кольчугино,40639
Урай,40610
Верхняя Салда,40520
Мончегорск,40425
Сатка,40371
Мыски,40061
Пугачёв,40001
Сафоново,39883
Ялуторовск,39822
Малгобек,39794
Шебекино,39734
Усть-Кут,39685
Тутаев,39458
Абинск,39374
Пыть-Ях,39316
Новозыбков,39027
Саянск,39021
Стрежевой,38926
Югорск,38865
Спасск-Дальний,38810
Баксан,38810
Елизово,38750
Апшеронск,38684
Заинск,38486
Советск,38465
Кизилюрт,38343
Губкинский,38336
Большой,38288
Амурск,38268
Учалы,38157
Белая,37889
Тулун,37842
Ртищево,37745
Усть-Лабинск,37589
Красный,37393
Курчатов,37334
Беслан,37319
Мариинск,37316
Южноуральск,37241
Качканар,37178
Красноуфимск,37104
Алексеевка,36994
Моршанск,36914
Изобильный,36901
Заволжье,36863
Новодвинск,36832
Джанкой,36827
Усинск,36775
Печора,36710
Переславль-Залесский,36655
Алапаевск,36587
Людиново,36273
Реж,36260
Шарыпово,36157
Мирный,35799
Сокол,35671
Партизанск,35595
Ирбит,35593
Урюпинск,35542
Мценск,35534
Кинель,35530
Ахтубинск,35493
Кыштым,35392
Черняховск,35292
Фролово,35191
Коряжма,34778
Лесозаводск,34479
Благовещенск,34441
Светлоград,34422
Новокубанск,34391
Протвино,34349
Апрелевка,34309
Балтийск,34279
Гулькевичи,34228
Валуйки,34222
Конаково,34166
Тосно,33845
Мирный,33519
Ефремов,33502
Каменка,33475
Зеленокумск,33364
Чернушка,33327
Корсаков,33237
Азнакаево,33199
Дальнегорск,33108
Коркино,33044
Гай,32952
Сухой,32935
Миллерово,32881
Луга,32797
Вязники,32773
Богородск,32746
Тында,32677
Истра,32609
Трёхгорный,32509
Фурманов,32467
Нижнеудинск,32444
Вичуга,32394
Алатырь,32319
Тайшет,32124
Сланцы,31948
Тавда,31850
Добрянка,31574
Тейково,31343
Муравленко,31332
Нововоронеж,31313
Дюртюли,31188
Приморско-Ахтарск,31187
Углич,31135
Усть-Джегута,31085
Кулебаки,31077
Вятские,31055
Дедовск,31008
Нурлат,31006
Острогожск,30974
Слободской,30937
Великий,30771
Шатура,30670
Луховицы,30488
Кохма,30471
Дагестанские,30428
Нарткала,30387
Алушта,30319
Обь,30287
Благодарный,30216
Ростов,30145
Богородицк,30008
Сердобск,29940
Маркс,29864
Кудымкар,29853
Можайск,29836
Зима,29821
Костомукша,29739
Киров,29576
Артёмовский,29406
Борзя,29286
Советский,29204
Городец,29103
Богданович,29081
Кандалакша,29047
Ликино-Дулёво,28783
Дивногорск,28668
Заречный,28635
Гагарин,28553
Тара,28527
Малоярославец,28498
Барабинск,28382
Славгород,28352
Котовск,28322
Аша,28311
Курчалой,28225
Кондопога,28150
Касимов,28074
Алейск,27976
Шумерля,27789
Карталы,27764
Гусев,27650
Петровск,27621
Еманжелинск,27572
Топки,27437
Похвистнево,27230
Кировск,27209
Семилуки,27158
Старая,26997
Балабаново,26861
Десногорск,26840
Лабытнанги,26788
Сорочинск,26673
Карасук,26591
Красноармейск,26532
Заводоуковск,26499
Удомля,26409
Соль-Илецк,26322
Кушва,26251
Киржач,26219
Киреевск,26129
Холмск,26067
Верхний,26062
Майский,26050
Новоалександровск,25919
Новопавловск,25908
Отрадное,25878
Нарьян-Мар,25795
Знаменск,25759
Бахчисарай,25664
Кировск,25586
Сосногорск,25521
Лосино-Петровский,25469
Полысаево,25459
Дятьково,25358
Сегежа,25334
Камышлов,25269
Карпинск,25257
Октябрьск,25221
Кимовск,24841
Скопин,24804
Североуральск,24739
Железноводск,24657
Янаул,24619
Звенигород,24476
Красноперекопск,24463
Асино,24389
Озёры,24328
Дальнереченск,24305
Нефтекумск,24252
Саки,24146
Среднеуральск,24110
Медногорск,23889
Павловск,23813
Морозовск,23796
Строитель,23781
Лермонтов,23675
Семёнов,23673
Родники,23669
Зерноград,23469
Северобайкальск,23411
Ленск,23226
Бутурлиновка,23226
Гусиноозёрск,23222
Аткарск,23198
Инта,23171
Татарск,23168
Калач-на-Дону,23108
Кувандык,23078
Советская,22942
Старая,22916
Шарья,22841
Невьянск,22820
Давлеканово,22697
Сасово,22683
Тайга,22586
Уварово,22514
Вилючинск,22473
Фокино,22454
Ипатово,22440
Зея,22407
Зарайск,22370
Унеча,22341
Таштагол,22341
Электрогорск,22304
Железногорск-Илимский,22283
Колпашево,22212
Тарко-Сале,22181
Вельск,22073
Котельнич,22060
Коммунар,22052
Красноуральск,22046
Калачинск,21885
Красноармейск,21867
Гурьевск,21836
Хадыженск,21787
Никольское,21699
Исилькуль,21693
Семикаракорск,21693
Менделеевск,21606
Светлый,21530
Алдан,21499
Бронницы,21384
Бавлы,21372
Армянск,21291
Усть-Катав,21209
Омутнинск,21038
Рыбное,21011
Дудинка,20925
Хотьково,20916
Сысерть,20843
Верещагино,20828
Кубинка,20764
Кяхта,20709
Тырныауз,20696
Карачаевск,20626
Котово,20613
Оса,20610
Куровское,20587
Лысково,20563
Гурьевск,20516
Остров,20485
Вихоревка,20471
Электроугли,20443
Пущино,20418
Ряжск,20290
Черноголовка,20218
Котельниково,20177
Тогучин,20130
Нижний,20112
Нерехта,20095
Арск,20018
Калтан,19884
Буинск,19821
Белоярский,19787
Бологое,19768
Бежецк,19752
Козьмодемьянск,19741
Терек,19682
Сергач,19657
Агрыз,19628
Бобров,19592
Рошаль,19589
Оленегорск,19533
